anio,trimestre,indicador,regimen,corte,categoria_origen,categoria_destino,valor,ee,n_obs
2011,2,SUBUTIL,tradicional,edad,30 a 39,NA,18.18,0.318,44169
2011,3,SUBUTIL,tradicional,edad,30 a 39,NA,18.58,0.322,43825
2011,4,SUBUTIL,tradicional,edad,30 a 39,NA,18.31,0.328,44199
2012,1,SUBUTIL,tradicional,edad,30 a 39,NA,17.58,0.312,44038
2012,2,SUBUTIL,tradicional,edad,30 a 39,NA,16.96,0.302,44270
2012,3,SUBUTIL,tradicional,edad,30 a 39,NA,17.16,0.314,43758
2012,4,SUBUTIL,tradicional,edad,30 a 39,NA,17.06,0.317,42939
2013,1,SUBUTIL,tradicional,edad,30 a 39,NA,17.3,0.307,43179
2013,2,SUBUTIL,tradicional,edad,30 a 39,NA,17.9,0.3,44371
2013,3,SUBUTIL,tradicional,edad,30 a 39,NA,17.57,0.303,44427
2013,4,SUBUTIL,tradicional,edad,30 a 39,NA,16.79,0.294,45740
2014,1,SUBUTIL,tradicional,edad,30 a 39,NA,16.95,0.301,45925
2014,2,SUBUTIL,tradicional,edad,30 a 39,NA,16.95,0.279,46130
2014,3,SUBUTIL,tradicional,edad,30 a 39,NA,17.22,0.294,45523
2014,4,SUBUTIL,tradicional,edad,30 a 39,NA,16.27,0.289,45450
2015,1,SUBUTIL,tradicional,edad,30 a 39,NA,16.35,0.297,45421
2015,2,SUBUTIL,tradicional,edad,30 a 39,NA,16.25,0.295,45623
2015,3,SUBUTIL,tradicional,edad,30 a 39,NA,17.06,0.298,45240
2015,4,SUBUTIL,tradicional,edad,30 a 39,NA,16.48,0.305,45274
2016,1,SUBUTIL,tradicional,edad,30 a 39,NA,15.56,0.28,44662
2016,2,SUBUTIL,tradicional,edad,30 a 39,NA,15.48,0.294,44747
2016,3,SUBUTIL,tradicional,edad,30 a 39,NA,15.47,0.304,43817
2016,4,SUBUTIL,tradicional,edad,30 a 39,NA,14.31,0.281,43687
2017,1,SUBUTIL,tradicional,edad,30 a 39,NA,14.49,0.292,43406
2017,2,SUBUTIL,tradicional,edad,30 a 39,NA,14.55,0.286,43927
2017,3,SUBUTIL,tradicional,edad,30 a 39,NA,13.91,0.293,42384
2017,4,SUBUTIL,tradicional,edad,30 a 39,NA,14.13,0.297,42539
2018,1,SUBUTIL,tradicional,edad,30 a 39,NA,13.38,0.3,42435
2018,2,SUBUTIL,tradicional,edad,30 a 39,NA,13.88,0.282,42872
2018,3,SUBUTIL,tradicional,edad,30 a 39,NA,14.12,0.297,42594
2018,4,SUBUTIL,tradicional,edad,30 a 39,NA,13.5,0.28,42971
2019,1,SUBUTIL,tradicional,edad,30 a 39,NA,13.48,0.276,44618
2019,2,SUBUTIL,tradicional,edad,30 a 39,NA,14.03,0.301,44879
2019,3,SUBUTIL,tradicional,edad,30 a 39,NA,14.67,0.298,44251
2019,4,SUBUTIL,tradicional,edad,30 a 39,NA,14.21,0.312,44289
2020,1,SUBUTIL,tradicional,edad,30 a 39,NA,15.44,0.321,45821
2020,3,SUBUTIL,enoen,edad,30 a 39,NA,29.75,0.627,33556
2020,4,SUBUTIL,enoen,edad,30 a 39,NA,25.86,0.506,40117
2021,1,SUBUTIL,enoen,edad,30 a 39,NA,22.89,0.457,39235
2021,2,SUBUTIL,enoen,edad,30 a 39,NA,22.04,0.398,43035
2021,3,SUBUTIL,enoen,edad,30 a 39,NA,21.59,0.343,48023
2021,4,SUBUTIL,enoen,edad,30 a 39,NA,18.54,0.324,48699
2022,1,SUBUTIL,enoen,edad,30 a 39,NA,17.37,0.325,44922
2022,2,SUBUTIL,enoen,edad,30 a 39,NA,16.73,0.312,45489
2022,3,SUBUTIL,enoen,edad,30 a 39,NA,14.51,0.304,44085
2022,4,SUBUTIL,enoen,edad,30 a 39,NA,13.23,0.285,44124
2023,1,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.67,0.262,50042
2023,2,SUBUTIL,enoe_2023,edad,30 a 39,NA,13.43,0.297,47873
2023,3,SUBUTIL,enoe_2023,edad,30 a 39,NA,13.22,0.277,47857
2023,4,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.53,0.263,46903
2024,1,SUBUTIL,enoe_2023,edad,30 a 39,NA,11.97,0.271,47136
2024,2,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.17,0.269,48026
2024,3,SUBUTIL,enoe_2023,edad,30 a 39,NA,13.14,0.285,48021
2024,4,SUBUTIL,enoe_2023,edad,30 a 39,NA,13.33,0.283,47721
2025,1,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.35,0.262,47762
2025,2,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.47,0.279,48032
2025,3,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.42,0.277,47819
2025,4,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.29,0.265,47502
2026,1,SUBUTIL,enoe_2023,edad,30 a 39,NA,11.92,0.264,47283
2026,2,SUBUTIL,enoe_2023,edad,30 a 39,NA,12.15,0.287,47274
2005,1,SUBUTIL,tradicional,edad,40 a 49,NA,15.73,0.338,36531
2005,2,SUBUTIL,tradicional,edad,40 a 49,NA,14.47,0.32,37403
2005,3,SUBUTIL,tradicional,edad,40 a 49,NA,14.46,0.318,38042
2005,4,SUBUTIL,tradicional,edad,40 a 49,NA,13.65,0.296,38550
2006,1,SUBUTIL,tradicional,edad,40 a 49,NA,13.85,0.318,38767
2006,2,SUBUTIL,tradicional,edad,40 a 49,NA,13.56,0.302,38932
2006,3,SUBUTIL,tradicional,edad,40 a 49,NA,15.97,0.31,39424
2006,4,SUBUTIL,tradicional,edad,40 a 49,NA,13.95,0.315,39419
2007,1,SUBUTIL,tradicional,edad,40 a 49,NA,15.77,0.33,39706
2007,2,SUBUTIL,tradicional,edad,40 a 49,NA,13.81,0.299,39815
2007,3,SUBUTIL,tradicional,edad,40 a 49,NA,14.21,0.321,39393
2007,4,SUBUTIL,tradicional,edad,40 a 49,NA,14.79,0.322,39291
2008,1,SUBUTIL,tradicional,edad,40 a 49,NA,14.1,0.293,39872
2008,2,SUBUTIL,tradicional,edad,40 a 49,NA,14.02,0.3,39945
2008,3,SUBUTIL,tradicional,edad,40 a 49,NA,14.76,0.306,39507
2008,4,SUBUTIL,tradicional,edad,40 a 49,NA,15.3,0.313,39233
2009,1,SUBUTIL,tradicional,edad,40 a 49,NA,16.77,0.321,39533
2009,2,SUBUTIL,tradicional,edad,40 a 49,NA,20.68,0.364,39434
2009,3,SUBUTIL,tradicional,edad,40 a 49,NA,18.16,0.337,39059
2009,4,SUBUTIL,tradicional,edad,40 a 49,NA,18.25,0.336,39359
2010,1,SUBUTIL,tradicional,edad,40 a 49,NA,18.3,0.345,39468
2010,2,SUBUTIL,tradicional,edad,40 a 49,NA,18.28,0.342,39808
2010,3,SUBUTIL,tradicional,edad,40 a 49,NA,17.47,0.337,39325
2010,4,SUBUTIL,tradicional,edad,40 a 49,NA,17.13,0.345,38933
2011,1,SUBUTIL,tradicional,edad,40 a 49,NA,16.81,0.327,39096
2011,2,SUBUTIL,tradicional,edad,40 a 49,NA,17.1,0.325,39361
2011,3,SUBUTIL,tradicional,edad,40 a 49,NA,17.57,0.333,39393
2011,4,SUBUTIL,tradicional,edad,40 a 49,NA,17.71,0.324,39623
2012,1,SUBUTIL,tradicional,edad,40 a 49,NA,16.99,0.332,39845
2012,2,SUBUTIL,tradicional,edad,40 a 49,NA,17.7,0.338,40221
2012,3,SUBUTIL,tradicional,edad,40 a 49,NA,17.36,0.326,39956
2012,4,SUBUTIL,tradicional,edad,40 a 49,NA,16.8,0.319,39278
2013,1,SUBUTIL,tradicional,edad,40 a 49,NA,16.97,0.316,39472
2013,2,SUBUTIL,tradicional,edad,40 a 49,NA,17.34,0.317,39892
2013,3,SUBUTIL,tradicional,edad,40 a 49,NA,17.27,0.318,39895
2013,4,SUBUTIL,tradicional,edad,40 a 49,NA,16.6,0.297,41089
2014,1,SUBUTIL,tradicional,edad,40 a 49,NA,16.56,0.316,41015
2014,2,SUBUTIL,tradicional,edad,40 a 49,NA,16.36,0.31,41559
2014,3,SUBUTIL,tradicional,edad,40 a 49,NA,16.61,0.296,41700
2014,4,SUBUTIL,tradicional,edad,40 a 49,NA,16.17,0.311,41842
2015,1,SUBUTIL,tradicional,edad,40 a 49,NA,15.63,0.294,41486
2015,2,SUBUTIL,tradicional,edad,40 a 49,NA,15.9,0.297,41740
2015,3,SUBUTIL,tradicional,edad,40 a 49,NA,16.71,0.302,41215
2015,4,SUBUTIL,tradicional,edad,40 a 49,NA,15.85,0.29,41177
2016,1,SUBUTIL,tradicional,edad,40 a 49,NA,15.34,0.293,41014
2016,2,SUBUTIL,tradicional,edad,40 a 49,NA,15.72,0.308,41392
2016,3,SUBUTIL,tradicional,edad,40 a 49,NA,15.16,0.301,40770
2016,4,SUBUTIL,tradicional,edad,40 a 49,NA,14.6,0.308,40768
2017,1,SUBUTIL,tradicional,edad,40 a 49,NA,13.99,0.298,40732
2017,2,SUBUTIL,tradicional,edad,40 a 49,NA,14.04,0.29,41664
2017,3,SUBUTIL,tradicional,edad,40 a 49,NA,14.12,0.293,40948
2017,4,SUBUTIL,tradicional,edad,40 a 49,NA,14.05,0.3,40831
2018,1,SUBUTIL,tradicional,edad,40 a 49,NA,13.7,0.299,40799
2018,2,SUBUTIL,tradicional,edad,40 a 49,NA,13.85,0.317,41188
2018,3,SUBUTIL,tradicional,edad,40 a 49,NA,14.14,0.307,40975
2018,4,SUBUTIL,tradicional,edad,40 a 49,NA,13.81,0.299,41159
2019,1,SUBUTIL,tradicional,edad,40 a 49,NA,13.58,0.299,42850
2019,2,SUBUTIL,tradicional,edad,40 a 49,NA,14.26,0.289,43142
2019,3,SUBUTIL,tradicional,edad,40 a 49,NA,15.18,0.319,43267
2019,4,SUBUTIL,tradicional,edad,40 a 49,NA,13.89,0.296,42906
2020,1,SUBUTIL,tradicional,edad,40 a 49,NA,15.48,0.351,43997
2020,3,SUBUTIL,enoen,edad,40 a 49,NA,30.37,0.544,32102
2020,4,SUBUTIL,enoen,edad,40 a 49,NA,26.11,0.486,38801
2021,1,SUBUTIL,enoen,edad,40 a 49,NA,24.62,0.457,37914
2021,2,SUBUTIL,enoen,edad,40 a 49,NA,22.62,0.406,41615
2021,3,SUBUTIL,enoen,edad,40 a 49,NA,22.32,0.355,46341
2021,4,SUBUTIL,enoen,edad,40 a 49,NA,19.23,0.324,47356
2022,1,SUBUTIL,enoen,edad,40 a 49,NA,18.24,0.331,43760
2022,2,SUBUTIL,enoen,edad,40 a 49,NA,17.22,0.323,44429
2022,3,SUBUTIL,enoen,edad,40 a 49,NA,14.87,0.296,42654
2022,4,SUBUTIL,enoen,edad,40 a 49,NA,13.33,0.291,42598
2023,1,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.05,0.28,48005
2023,2,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.33,0.285,45536
2023,3,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.88,0.285,45484
2023,4,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.33,0.287,44450
2024,1,SUBUTIL,enoe_2023,edad,40 a 49,NA,11.95,0.278,44377
2024,2,SUBUTIL,enoe_2023,edad,40 a 49,NA,12.86,0.319,45073
2024,3,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.57,0.302,44845
2024,4,SUBUTIL,enoe_2023,edad,40 a 49,NA,13.59,0.292,44526
2025,1,SUBUTIL,enoe_2023,edad,40 a 49,NA,12.15,0.279,44508
