anio,trimestre,indicador,tipo,valor
2014,4,TOSI1,desestacionalizada,27.38
2015,1,TOSI1,desestacionalizada,27.12
2015,2,TOSI1,desestacionalizada,27.24
2015,3,TOSI1,desestacionalizada,27.44
2015,4,TOSI1,desestacionalizada,27.71
2016,1,TOSI1,desestacionalizada,27.06
2016,2,TOSI1,desestacionalizada,27.06
2016,3,TOSI1,desestacionalizada,27.16
2016,4,TOSI1,desestacionalizada,27.16
2017,1,TOSI1,desestacionalizada,27.25
2017,2,TOSI1,desestacionalizada,26.94
2017,3,TOSI1,desestacionalizada,26.65
2017,4,TOSI1,desestacionalizada,26.91
2018,1,TOSI1,desestacionalizada,27.2
2018,2,TOSI1,desestacionalizada,27.34
2018,3,TOSI1,desestacionalizada,27.47
2018,4,TOSI1,desestacionalizada,27.41
2019,1,TOSI1,desestacionalizada,27.72
2019,2,TOSI1,desestacionalizada,27.75
2019,3,TOSI1,desestacionalizada,27.65
2019,4,TOSI1,desestacionalizada,27.45
2020,1,TOSI1,desestacionalizada,27.5
2020,3,TOSI1,desestacionalizada,26.89
2020,4,TOSI1,desestacionalizada,27.83
2021,1,TOSI1,desestacionalizada,28.02
2021,2,TOSI1,desestacionalizada,28.51
2021,3,TOSI1,desestacionalizada,28.7
2021,4,TOSI1,desestacionalizada,28.84
2022,1,TOSI1,desestacionalizada,28.36
2022,2,TOSI1,desestacionalizada,28.6
2022,3,TOSI1,desestacionalizada,28.21
2022,4,TOSI1,desestacionalizada,28.09
2023,1,TOSI1,desestacionalizada,28.3
2023,2,TOSI1,desestacionalizada,28.17
2023,3,TOSI1,desestacionalizada,28.26
2023,4,TOSI1,desestacionalizada,28.24
2024,1,TOSI1,desestacionalizada,27.93
2024,2,TOSI1,desestacionalizada,28.07
2024,3,TOSI1,desestacionalizada,28.11
2024,4,TOSI1,desestacionalizada,28.58
2025,1,TOSI1,desestacionalizada,28.9
2025,2,TOSI1,desestacionalizada,28.94
2025,3,TOSI1,desestacionalizada,29.5
2025,4,TOSI1,desestacionalizada,29.45
2026,1,TOSI1,desestacionalizada,29.65
2026,2,TOSI1,desestacionalizada,30.18
2005,1,TOSI1,tendencia_ciclo,27.88
2005,2,TOSI1,tendencia_ciclo,27.98
2005,3,TOSI1,tendencia_ciclo,28.11
2005,4,TOSI1,tendencia_ciclo,28.02
2006,1,TOSI1,tendencia_ciclo,27.6
2006,2,TOSI1,tendencia_ciclo,27.15
2006,3,TOSI1,tendencia_ciclo,26.88
2006,4,TOSI1,tendencia_ciclo,26.79
2007,1,TOSI1,tendencia_ciclo,26.88
2007,2,TOSI1,tendencia_ciclo,27.03
2007,3,TOSI1,tendencia_ciclo,27.16
2007,4,TOSI1,tendencia_ciclo,27.34
2008,1,TOSI1,tendencia_ciclo,27.46
2008,2,TOSI1,tendencia_ciclo,27.42
2008,3,TOSI1,tendencia_ciclo,27.36
2008,4,TOSI1,tendencia_ciclo,27.44
2009,1,TOSI1,tendencia_ciclo,27.69
2009,2,TOSI1,tendencia_ciclo,28.07
2009,3,TOSI1,tendencia_ciclo,28.35
2009,4,TOSI1,tendencia_ciclo,28.43
2010,1,TOSI1,tendencia_ciclo,28.42
2010,2,TOSI1,tendencia_ciclo,28.29
2010,3,TOSI1,tendencia_ciclo,28.06
